data_type,time_period,time_period_year,time_period_month,forecast_date,date_range,ICIS Argentina DEL Domestic Mid,ICIS Asia NE FOB Fibre Mid,ICIS Asia SE FOB Mid,ICIS Brazil DEL Domestic Mid,ICIS China FOB Mid,ICIS India FOB Mid,ICIS Mexico DEL Domestic Mid,ICIS Mexico FOB Export Mid,ICIS South Korea FOB Mid,ICIS Taiwan FOB Mid
Actual,January 2025,2025,1,2025-01-01,Jan-2025,2100.011,982.0,926.0,1509.944,799.5,990.5,1584.791,1359.92,944.0,1027.5
Actual,February 2025,2025,2,2025-02-01,Feb-2025,1699.872,997.5,936.3,1464.86,803.1,991.9,1544.777,1359.92,963.8,1037.5
Actual,March 2025,2025,3,2025-03-01,Mar-2025,1599.783,1000.0,930.6,1464.86,786.3,988.8,1544.777,1359.92,970.0,1040.0
Actual,April 2025,2025,4,2025-04-01,Apr-2025,1374.801,975.0,906.3,1444.798,745.6,986.9,1544.777,1211.858,950.0,1020.0
Actual,May 2025,2025,5,2025-05-01,May-2025,1374.801,988.0,916.0,1399.823,775.0,990.0,1499.803,1174.842,957.0,1027.0
Actual,June 2025,2025,6,2025-06-01,Jun-2025,1424.846,985.0,924.4,1419.886,793.1,1002.5,1499.803,1174.842,955.0,1021.3
Actual,July 2025,2025,7,2025-07-01,Jul-2025,1524.759,991.3,915.6,1474.891,781.9,1004.4,1564.729,1174.842,965.0,1020.0
Actual,August 2025,2025,8,2025-08-01,Aug-2025,1549.738,992.0,900.0,1474.891,774.0,1010.5,1564.729,1174.842,963.0,1012.0
Actual,September 2025,2025,9,2025-09-01,Sep-2025,1549.738,987.5,894.4,1406.724,765.0,1006.3,1424.846,1174.842,946.3,991.3
Actual,October 2025,2025,10,2025-10-01,Oct-2025,1499.693,977.0,883.5,1349.558,752.0,1003.0,1424.846,1144.639,945.0,990.0
Actual,November 2025,2025,11,2025-11-01,Nov-2025,1412.5,957.5,879.4,1296.344,748.8,997.5,1399.906,1131.025,925.0,985.0
Actual,December 2025,2025,12,2025-12-01,Dec-2025,1315.056,951.3,863.8,1263.688,756.3,969.4,1311.198,1089.964,906.3,966.3
Actual,January 2026,2026,1,2026-01-01,Jan-2026,1292.486,970.0,893.8,1227.505,818.1,981.9,1297.474,1089.964,926.3,1005.0
Actual,February 2026,2026,2,2026-02-01,Feb-2026,1284.963,982.5,905.0,1247.512,838.3,976.9,1294.939,1105.011,960.0,1015.0
Actual,March 2026,2026,3,2026-03-01,Mar-2026,1512.017,1237.5,1213.8,1332.009,1111.3,1286.3,1477.977,1309.037,1248.8,1318.8
Actual,April 2026,2026,4,2026-04-01,Apr-2026,1787.451,1336.3,1412.5,1718.667,1191.9,1416.3,1818.729,1562.469,1413.8,1479.4
Forecast,May 2026,2026,5,2026-05-01,May-2026,1644.4549200000001,1229.396,1299.5,1581.17364,1096.5480000000002,1302.996,1673.2306800000001,1437.4714800000002,1300.696,1361.0480000000002
Forecast,June 2026,2026,6,2026-06-01,Jun-2026,1512.8985264000003,1131.04432,1195.54,1454.6797488,1008.8241600000002,1198.7563200000002,1539.3722256,1322.4737616000002,1196.64032,1252.1641600000003
Forecast,July 2026,2026,7,2026-07-01,Jul-2026,1391.8666442880003,1135.2383830833298,1099.8968,1387.6644911800727,992.8177734236345,1183.224524229434,1482.9997116539253,1216.6758606720002,1146.6468908051568,1192.0955532968483
Forecast,August 2026,2026,8,2026-08-01,Aug-2026,1401.2247264393854,1136.0400242294595,1078.7966596579129,1387.6644911800727,982.7867459136631,1190.4105752029502,1482.9997116539253,1135.4694843557538,1144.2704205651462,1182.745784251383
Forecast,September 2026,2026,9,2026-09-01,Sep-2026,1401.2247264393854,1130.8866168614832,1072.0841471089302,1323.5289548114379,971.358993054202,1185.4628024015128,1364.3597347216114,1135.4694843557538,1124.4268940610568,1158.5532568462409
Forecast,October 2026,2026,10,2026-10-01,Oct-2026,1355.9755995323476,1118.8619996695384,1059.0187208975176,1269.7438084495711,954.8522389238691,1181.575266628955,1350.4231129807454,1106.2786784124892,1122.8821884050499,1157.0339193763527
Forecast,November 2026,2026,11,2026-11-01,Nov-2026,1277.1384105543207,1096.5305677416407,1054.1042027812982,1219.6769369087885,950.7890379071717,1175.0960403413585,1326.7857848500282,1093.1209248081584,1099.117486004943,1151.190313722937
Forecast,December 2026,2026,12,2026-12-01,Dec-2026,1189.0325873486179,1089.4303175902064,1035.405060680561,1188.9522449661458,960.3121652900561,1141.9930842174565,1242.7112016976764,1053.4360033488203,1076.897489260843,1129.3352285791611
